Date,spx
1909.02,8.8
1909.03,8.92
1909.04,9.32
1909.05,9.63
1909.06,9.8
1909.07,9.94
1909.08,10.18
1909.09,10.19
1909.1,10.23
1909.11,10.18
1909.12,10.3
1910.01,10.08
1910.02,9.72
1910.03,9.96
1910.04,9.72
1910.05,9.56
1910.06,9.1
1910.07,8.64
1910.08,8.85
1910.09,8.91
1910.1,9.32
1910.11,9.31
1910.12,9.05
1911.01,9.27
1911.02,9.43
1911.03,9.32
1911.04,9.28
1911.05,9.48
1911.06,9.67
1911.07,9.63
1911.08,9.17
1911.09,8.67
1911.1,8.72
1911.11,9.07
1911.12,9.11
1912.01,9.12
1912.02,9.04
1912.03,9.3
1912.04,9.59
1912.05,9.58
1912.06,9.58
1912.07,9.59
1912.08,9.81
1912.09,9.86
1912.1,9.84
1912.11,9.73
1912.12,9.38
1913.01,9.3
1913.02,8.97
1913.03,8.8
1913.04,8.79
1913.05,8.55
1913.06,8.12
1913.07,8.23
1913.08,8.45
1913.09,8.53
1913.1,8.26
1913.11,8.05
1913.12,8.04
1914.01,8.37
1914.02,8.48
1914.03,8.32
1914.04,8.12
1914.05,8.17
1914.06,8.13
1914.07,7.68
1914.08,7.68
1914.09,7.68
1914.1,7.68
1914.11,7.68
1914.12,7.35
1915.01,7.48
1915.02,7.38
1915.03,7.57
1915.04,8.14
1915.05,7.95
1915.06,8.04
1915.07,8.01
1915.08,8.35
1915.09,8.66
1915.1,9.14
1915.11,9.46
1915.12,9.48
1916.01,9.33
1916.02,9.2
1916.03,9.17
1916.04,9.07
1916.05,9.27
1916.06,9.36
1916.07,9.23
1916.08,9.3
1916.09,9.68
1916.1,9.98
1916.11,10.21
1916.12,9.8
1917.01,9.57
1917.02,9.03
1917.03,9.31
1917.04,9.17
1917.05,8.86
1917.06,9.04
1917.07,8.79
1917.08,8.53
1917.09,8.12
1917.1,7.68
1917.11,7.04
1917.12,6.8
1918.01,7.21
1918.02,7.43
1918.03,7.28
1918.04,7.21
1918.05,7.44
1918.06,7.45
1918.07,7.51
1918.08,7.58
1918.09,7.54
1918.1,7.86
1918.11,8.06
1918.12,7.9
1919.01,7.85
1919.02,7.88
1919.03,8.12
1919.04,8.39
1919.05,8.97
1919.06,9.21
1919.07,9.51
1919.08,8.87
1919.09,9.01
1919.1,9.47
1919.11,9.19
1919.12,8.92
1920.01,8.83
1920.02,8.1
1920.03,8.67
1920.04,8.6
1920.05,8.06
1920.06,7.92
1920.07,7.91
1920.08,7.6
1920.09,7.87
1920.1,7.88
1920.11,7.48
1920.12,6.81
1921.01,7.11
1921.02,7.06
1921.03,6.88
1921.04,6.91
1921.05,7.12
1921.06,6.55
1921.07,6.53
1921.08,6.45
1921.09,6.61
1921.1,6.7
1921.11,7.06
1921.12,7.31
1922.01,7.3
1922.02,7.46
1922.03,7.74
1922.04,8.21
1922.05,8.53
1922.06,8.45
1922.07,8.51
1922.08,8.83
1922.09,9.06
1922.1,9.26
1922.11,8.8
1922.12,8.78
1923.01,8.9
1923.02,9.28
1923.03,9.43
1923.04,9.1
1923.05,8.67
1923.06,8.34
1923.07,8.06
1923.08,8.1
1923.09,8.15
1923.1,8.03
1923.11,8.27
1923.12,8.55
1924.01,8.83
1924.02,8.87
1924.03,8.7
1924.04,8.5
1924.05,8.47
1924.06,8.63
1924.07,9.03
1924.08,9.34
1924.09,9.25
1924.1,9.13
1924.11,9.64
1924.12,10.16
1925.01,10.58
1925.02,10.67
1925.03,10.39
1925.04,10.28
1925.05,10.61
1925.06,10.8
1925.07,11.1
1925.08,11.25
1925.09,11.51
1925.1,11.89
1925.11,12.26
1925.12,12.46
1926.01,12.65
1926.02,12.67
1926.03,11.81
1926.04,11.48
1926.05,11.56
1926.06,12.11
1926.07,12.62
1926.08,13.12
1926.09,13.32
1926.1,13.02
1926.11,13.19
1926.12,13.49
1927.01,13.4
1927.02,13.66
1927.03,13.87
1927.04,14.21
1927.05,14.7
1927.06,14.89
1927.07,15.22
1927.08,16.03
1927.09,16.94
1927.1,16.68
1927.11,17.06
1927.12,17.46
1928.01,17.53
1928.02,17.32
1928.03,18.25
1928.04,19.4
1928.05,20
1928.06,19.02
1928.07,19.16
1928.08,19.78
1928.09,21.17
1928.1,21.6
1928.11,23.06
1928.12,23.15
1929.01,24.86
1929.02,24.99
1929.03,25.43
1929.04,25.28
1929.05,25.66
1929.06,26.15
1929.07,28.48
1929.08,30.1
1929.09,31.3
1929.1,27.99
1929.11,20.58
1929.12,21.4
1930.01,21.71
1930.02,23.07
1930.03,23.94
1930.04,25.46
1930.05,23.94
1930.06,21.52
1930.07,21.06
1930.08,20.79
1930.09,20.78
1930.1,17.92
1930.11,16.62
1930.12,15.51
1931.01,15.98
1931.02,17.2
1931.03,17.53
1931.04,15.86
1931.05,14.33
1931.06,13.87
1931.07,14.33
1931.08,13.9
1931.09,11.83
1931.1,10.25
1931.11,10.39
1931.12,8.44
1932.01,8.3
1932.02,8.23
1932.03,8.26
1932.04,6.28
1932.05,5.51
1932.06,4.77
1932.07,5.01
1932.08,7.53
1932.09,8.26
1932.1,7.12
1932.11,7.05
1932.12,6.82
1933.01,7.09
1933.02,6.25
1933.03,6.23
1933.04,6.89
1933.05,8.87
1933.06,10.39
1933.07,11.23
1933.08,10.67
1933.09,10.58
1933.1,9.55
1933.11,9.78
1933.12,9.97
1934.01,10.54
1934.02,11.32
1934.03,10.74
1934.04,10.92
1934.05,9.81
1934.06,9.94
1934.07,9.47
1934.08,9.1
1934.09,8.88
1934.1,8.95
1934.11,9.2
1934.12,9.26
1935.01,9.26
1935.02,8.98
1935.03,8.41
1935.04,9.04
1935.05,9.75
1935.06,10.12
1935.07,10.65
1935.08,11.37
1935.09,11.61
1935.1,11.92
1935.11,13.04
1935.12,13.04
1936.01,13.76
1936.02,14.55
1936.03,14.86
1936.04,14.88
1936.05,14.09
1936.06,14.69
1936.07,15.56
1936.08,15.87
1936.09,16.05
1936.1,16.89
1936.11,17.36
1936.12,17.06
1937.01,17.59
1937.02,18.11
1937.03,18.09
1937.04,17.01
1937.05,16.25
1937.06,15.64
1937.07,16.57
1937.08,16.74
1937.09,14.37
1937.1,12.28
1937.11,11.2
1937.12,11.02
1938.01,11.31
1938.02,11.04
1938.03,10.31
1938.04,9.89
1938.05,9.98
1938.06,10.21
1938.07,12.24
1938.08,12.31
1938.09,11.75
1938.1,13.06
1938.11,13.07
1938.12,12.69
1939.01,12.5
1939.02,12.4
1939.03,12.39
1939.04,10.83
1939.05,11.23
1939.06,11.43
1939.07,11.71
1939.08,11.54
1939.09,12.77
1939.1,12.9
1939.11,12.67
1939.12,12.37
1940.01,12.3
1940.02,12.22
1940.03,12.15
1940.04,12.27
1940.05,10.58
1940.06,9.67
1940.07,9.99
1940.08,10.2
1940.09,10.63
1940.1,10.73
1940.11,10.98
1940.12,10.53
1941.01,10.55
1941.02,9.89
1941.03,9.95
1941.04,9.64
1941.05,9.43
1941.06,9.76
1941.07,10.26
1941.08,10.21
1941.09,10.24
1941.1,9.83
1941.11,9.37
1941.12,8.76
1942.01,8.93
1942.02,8.65
1942.03,8.18
1942.04,7.84
1942.05,7.93
1942.06,8.33
1942.07,8.64
1942.08,8.59
1942.09,8.68
1942.1,9.32
1942.11,9.47
1942.12,9.52
1943.01,10.09
1943.02,10.69
1943.03,11.07
1943.04,11.44
1943.05,11.89
1943.06,12.1
1943.07,12.35
1943.08,11.74
1943.09,11.99
1943.1,11.88
1943.11,11.33
1943.12,11.48
1944.01,11.85
1944.02,11.77
1944.03,12.1
1944.04,11.89
1944.05,12.1
1944.06,12.67
1944.07,13
1944.08,12.81
1944.09,12.6
1944.1,12.91
1944.11,12.82
1944.12,13.1
1945.01,13.49
1945.02,13.94
1945.03,13.93
1945.04,14.28
1945.05,14.82
1945.06,15.09
1945.07,14.78
1945.08,14.83
1945.09,15.84
1945.1,16.5
1945.11,17.04
1945.12,17.33
1946.01,18.02
1946.02,18.07
1946.03,17.53
1946.04,18.66
1946.05,18.7
1946.06,18.58
1946.07,18.05
1946.08,17.7
1946.09,15.09
1946.1,14.75
1946.11,14.69
1946.12,15.13
1947.01,15.21
1947.02,15.8
1947.03,15.16
1947.04,14.6
1947.05,14.34
1947.06,14.84
1947.07,15.77
1947.08,15.46
1947.09,15.06
1947.1,15.45
1947.11,15.27
1947.12,15.03
1948.01,14.83
1948.02,14.1
1948.03,14.3
1948.04,15.4
1948.05,16.15
1948.06,16.82
1948.07,16.42
1948.08,15.94
1948.09,15.76
1948.1,16.19
1948.11,15.29
1948.12,15.19
1949.01,15.36
1949.02,14.77
1949.03,14.91
1949.04,14.89
1949.05,14.78
1949.06,13.97
1949.07,14.76
1949.08,15.29
1949.09,15.49
1949.1,15.89
1949.11,16.11
1949.12,16.54
1950.01,16.88
1950.02,17.21
1950.03,17.35
1950.04,17.84
1950.05,18.44
1950.06,18.74
1950.07,17.38
1950.08,18.43
1950.09,19.08
1950.1,19.87
1950.11,19.83
1950.12,19.75
1951.01,21.21
1951.02,22
1951.03,21.63
1951.04,21.92
1951.05,21.93
1951.06,21.55
1951.07,21.93
1951.08,22.89
1951.09,23.48
1951.1,23.36
1951.11,22.71
1951.12,23.41
1952.01,24.19
1952.02,23.75
1952.03,23.81
1952.04,23.74
1952.05,23.73
1952.06,24.38
1952.07,25.08
1952.08,25.18
1952.09,24.78
1952.1,24.26
1952.11,25.03
1952.12,26.04
1953.01,26.18
1953.02,25.86
1953.03,25.99
1953.04,24.71
1953.05,24.84
1953.06,23.95
1953.07,24.29
1953.08,24.39
1953.09,23.27
1953.1,23.97
1953.11,24.5
1953.12,24.83
1954.01,25.46
1954.02,26.02
1954.03,26.57
1954.04,27.63
1954.05,28.73
1954.06,28.96
1954.07,30.13
1954.08,30.73
1954.09,31.45
1954.1,32.18
1954.11,33.44
1954.12,34.97
1955.01,35.6
1955.02,36.79
1955.03,36.5
1955.04,37.76
1955.05,37.6
1955.06,39.78
1955.07,42.69
1955.08,42.43
1955.09,44.34
1955.1,42.11
1955.11,44.95
1955.12,45.37
1956.01,44.15
1956.02,44.43
1956.03,47.49
1956.04,48.05
1956.05,46.54
1956.06,46.27
1956.07,48.78
1956.08,48.49
1956.09,46.84
1956.1,46.24
1956.11,45.76
1956.12,46.44
1957.01,45.43
1957.02,43.47
1957.03,44.03
1957.04,45.05
1957.05,46.78
1957.06,47.55
1957.07,48.51
1957.08,45.84
1957.09,43.98
1957.1,41.24
1957.11,40.35
1957.12,40.33
1958.01,41.12
1958.02,41.26
1958.03,42.11
1958.04,42.34
1958.05,43.7
1958.06,44.75
1958.07,45.98
1958.08,47.7
1958.09,48.96
1958.1,50.95
1958.11,52.5
1958.12,53.49
1959.01,55.62
1959.02,54.77
1959.03,56.16
1959.04,57.1
1959.05,57.96
1959.06,57.46
1959.07,59.74
1959.08,59.4
1959.09,57.05
1959.1,57
1959.11,57.23
1959.12,59.06
1960.01,58.03
1960.02,55.78
1960.03,55.02
1960.04,55.73
1960.05,55.22
1960.06,57.26
1960.07,55.84
1960.08,56.51
1960.09,54.81
1960.1,53.73
1960.11,55.47
1960.12,56.8
1961.01,59.72
1961.02,62.17
1961.03,64.12
1961.04,65.83
1961.05,66.5
1961.06,65.62
1961.07,65.44
1961.08,67.79
1961.09,67.26
1961.1,68
1961.11,71.08
1961.12,71.74
1962.01,69.07
1962.02,70.22
1962.03,70.29
1962.04,68.05
1962.05,62.99
1962.06,55.63
1962.07,56.97
1962.08,58.52
1962.09,58
1962.1,56.17
1962.11,60.04
1962.12,62.64
1963.01,65.06
1963.02,65.92
1963.03,65.67
1963.04,68.76
1963.05,70.14
1963.06,70.11
1963.07,69.07
1963.08,70.98
1963.09,72.85
1963.1,73.03
1963.11,72.62
1963.12,74.17
1964.01,76.45
1964.02,77.39
1964.03,78.8
1964.04,79.94
1964.05,80.72
1964.06,80.24
1964.07,83.22
1964.08,82
1964.09,83.41
1964.1,84.85
1964.11,85.44
1964.12,83.96
1965.01,86.12
1965.02,86.75
1965.03,86.83
1965.04,87.97
1965.05,89.28
1965.06,85.04
1965.07,84.91
1965.08,86.49
1965.09,89.38
1965.1,91.39
1965.11,92.15
1965.12,91.73
1966.01,93.32
1966.02,92.69
1966.03,88.88
1966.04,91.6
1966.05,86.78
1966.06,86.06
1966.07,85.84
1966.08,80.65
1966.09,77.81
1966.1,77.13
1966.11,80.99
1966.12,81.33
1967.01,84.45
1967.02,87.36
1967.03,89.42
1967.04,90.96
1967.05,92.59
1967.06,91.43
1967.07,93.01
1967.08,94.49
1967.09,95.81
1967.1,95.66
1967.11,92.66
1967.12,95.3
1968.01,95.04
1968.02,90.75
1968.03,89.09
1968.04,95.67
1968.05,97.87
1968.06,100.5
1968.07,100.3
1968.08,98.11
1968.09,101.3
1968.1,103.8
1968.11,105.4
1968.12,106.5
1969.01,102
1969.02,101.5
1969.03,99.3
1969.04,101.3
1969.05,104.6
1969.06,99.14
1969.07,94.71
1969.08,94.18
1969.09,94.51
1969.1,95.52
1969.11,96.21
1969.12,91.11
1970.01,90.31
1970.02,87.16
1970.03,88.65
1970.04,85.95
1970.05,76.06
1970.06,75.59
1970.07,75.72
1970.08,77.92
1970.09,82.58
1970.1,84.37
1970.11,84.28
1970.12,90.05
1971.01,93.49
1971.02,97.11
1971.03,99.6
1971.04,103
1971.05,101.6
1971.06,99.72
1971.07,99
1971.08,97.24
1971.09,99.4
1971.1,97.29
1971.11,92.78
1971.12,99.17
1972.01,103.3
1972.02,105.2
1972.03,107.7
1972.04,108.8
1972.05,107.7
1972.06,108
1972.07,107.2
1972.08,111
1972.09,109.4
1972.1,109.6
1972.11,115.1
1972.12,117.5
1973.01,118.4
1973.02,114.2
1973.03,112.4
1973.04,110.3
1973.05,107.2
1973.06,104.8
1973.07,105.8
1973.08,103.8
1973.09,105.6
1973.1,109.8
1973.11,102
1973.12,94.78
1974.01,96.11
1974.02,93.45
1974.03,97.44
1974.04,92.46
1974.05,89.67
1974.06,89.79
1974.07,79.31
1974.08,76.03
1974.09,68.12
1974.1,69.44
1974.11,71.74
1974.12,67.07
1975.01,72.56
1975.02,80.1
1975.03,83.78
1975.04,84.72
1975.05,90.1
1975.06,92.4
1975.07,92.49
1975.08,85.71
1975.09,84.67
1975.1,88.57
1975.11,90.07
1975.12,88.7
1976.01,96.86
1976.02,100.6
1976.03,101.1
1976.04,101.9
1976.05,101.2
1976.06,101.8
1976.07,104.2
1976.08,103.3
1976.09,105.5
1976.1,101.9
1976.11,101.2
1976.12,104.7
1977.01,103.8
1977.02,101
1977.03,100.6
1977.04,99.05
1977.05,98.76
1977.06,99.29
1977.07,100.2
1977.08,97.75
1977.09,96.23
1977.1,93.74
1977.11,94.28
1977.12,93.82
1978.01,90.25
1978.02,88.98
1978.03,88.82
1978.04,92.71
1978.05,97.41
1978.06,97.66
1978.07,97.19
1978.08,103.9
1978.09,103.9
1978.1,100.6
1978.11,94.71
1978.12,96.11
1979.01,99.71
1979.02,98.23
1979.03,100.1
1979.04,102.1
1979.05,99.73
1979.06,101.7
1979.07,102.7
1979.08,107.4
1979.09,108.6
1979.1,104.5
1979.11,103.7
1979.12,107.8
1980.01,110.9
1980.02,115.3
1980.03,104.7
1980.04,103
1980.05,107.7
1980.06,114.6
1980.07,119.8
1980.08,123.5
1980.09,126.5
1980.1,130.2
1980.11,135.7
1980.12,133.5
1981.01,133
1981.02,128.4
1981.03,133.2
1981.04,134.4
1981.05,131.7
1981.06,132.3
1981.07,129.1
1981.08,129.6
1981.09,118.3
1981.1,119.8
1981.11,122.9
1981.12,123.8
1982.01,117.3
1982.02,114.5
1982.03,110.8
1982.04,116.3
1982.05,116.4
1982.06,109.7
1982.07,109.4
1982.08,109.7
1982.09,122.4
1982.1,132.7
1982.11,138.1
1982.12,139.4
1983.01,144.3
1983.02,146.8
1983.03,151.9
1983.04,157.7
1983.05,164.1
1983.06,166.4
1983.07,167
1983.08,162.4
1983.09,167.2
1983.1,167.7
1983.11,165.2
1983.12,164.4
1984.01,166.4
1984.02,157.3
1984.03,157.4
1984.04,157.6
1984.05,156.6
1984.06,153.1
1984.07,151.1
1984.08,164.4
1984.09,166.1
1984.1,164.8
1984.11,166.3
1984.12,164.5
1985.01,171.6
1985.02,180.9
1985.03,179.4
1985.04,180.6
1985.05,184.9
1985.06,188.9
1985.07,192.5
1985.08,188.3
1985.09,184.1
1985.1,186.2
1985.11,197.5
1985.12,207.3
1986.01,208.2
1986.02,219.4
1986.03,232.3
1986.04,238
1986.05,238.5
1986.06,245.3
1986.07,240.2
1986.08,245
1986.09,238.3
1986.1,237.4
1986.11,245.1
1986.12,248.6
1987.01,264.5
1987.02,280.9
1987.03,292.5
1987.04,289.3
1987.05,289.1
1987.06,301.4
1987.07,310.1
1987.08,329.4
1987.09,318.7
1987.1,280.2
1987.11,245
1987.12,241
1988.01,250.5
1988.02,258.1
1988.03,265.7
1988.04,262.6
1988.05,256.1
1988.06,270.7
1988.07,269.1
1988.08,263.7
1988.09,268
1988.1,277.4
1988.11,271
1988.12,276.5
1989.01,285.4
1989.02,294
1989.03,292.7
1989.04,302.3
1989.05,313.9
1989.06,323.7
1989.07,331.9
1989.08,346.6
1989.09,347.3
1989.1,347.4
1989.11,340.2
1989.12,348.6
1990.01,339.97
1990.02,330.45
1990.03,338.46
1990.04,338.18
1990.05,350.25
1990.06,360.39
1990.07,360.03
1990.08,330.75
1990.09,315.41
1990.1,307.12
1990.11,315.29
1990.12,328.75
1991.01,325.49
1991.02,362.26
1991.03,372.28
1991.04,379.68
1991.05,377.99
1991.06,378.29
1991.07,380.23
1991.08,389.4
1991.09,387.2
1991.1,386.88
1991.11,385.92
1991.12,388.51
1992.01,416.08
1992.02,412.56
1992.03,407.36
1992.04,407.41
1992.05,414.81
1992.06,408.27
1992.07,415.05
1992.08,417.93
1992.09,418.48
1992.1,412.5
1992.11,422.84
1992.12,435.64
1993.01,435.23
1993.02,441.7
1993.03,450.16
1993.04,443.08
1993.05,445.25
1993.06,448.06
1993.07,447.29
1993.08,454.13
1993.09,459.24
1993.1,463.9
1993.11,462.89
1993.12,465.95
1994.01,472.99
1994.02,471.58
1994.03,463.81
1994.04,447.23
1994.05,450.9
1994.06,454.83
1994.07,451.4
1994.08,464.24
1994.09,466.96
1994.1,463.81
1994.11,461.01
1994.12,455.19
1995.01,465.25
1995.02,481.92
1995.03,493.15
1995.04,507.91
1995.05,523.81
1995.06,539.35
1995.07,557.37
1995.08,559.11
1995.09,578.77
1995.1,582.92
1995.11,595.53
1995.12,614.57
1996.01,614.42
1996.02,649.54
1996.03,647.07
1996.04,647.17
1996.05,661.23
1996.06,668.5
1996.07,644.07
1996.08,662.68
1996.09,674.88
1996.1,701.46
1996.11,735.67
1996.12,743.25
1997.01,766.22
1997.02,798.39
1997.03,792.16
1997.04,763.93
1997.05,833.09
1997.06,876.29
1997.07,925.29
1997.08,927.24
1997.09,937.02
1997.1,951.16
1997.11,938.92
1997.12,962.37
1998.01,963.36
1998.02,1023.74
1998.03,1076.83
1998.04,1112.2
1998.05,1108.42
1998.06,1108.39
1998.07,1156.58
1998.08,1074.62
1998.09,1020.64
1998.1,1032.47
1998.11,1144.43
1998.12,1190.05
1999.01,1248.77
1999.02,1246.58
1999.03,1281.66
1999.04,1334.76
1999.05,1332.07
1999.06,1322.55
1999.07,1380.99
1999.08,1327.49
1999.09,1318.17
1999.1,1300.01
1999.11,1391
1999.12,1428.68
2000.01,1425.59
2000.02,1388.87
2000.03,1442.21
2000.04,1461.36
2000.05,1418.48
2000.06,1461.96
2000.07,1473
2000.08,1485.46
2000.09,1468.05
2000.1,1390.14
2000.11,1378.04
2000.12,1330.93
2001.01,1335.63
2001.02,1305.75
2001.03,1185.85
2001.04,1189.84
2001.05,1270.37
2001.06,1238.71
2001.07,1204.45
2001.08,1178.5
2001.09,1044.64
2001.1,1076.59
2001.11,1129.68
2001.12,1144.93
2002.01,1140.21
2002.02,1100.67
2002.03,1153.79
2002.04,1111.93
2002.05,1079.25
2002.06,1014.02
2002.07,903.59
2002.08,912.55
2002.09,867.81
2002.1,854.63
2002.11,909.93
2002.12,899.18
2003.01,895.84
2003.02,837.03
2003.03,846.63
2003.04,890.03
2003.05,935.96
2003.06,988
2003.07,992.54
2003.08,989.53
2003.09,1019.44
2003.1,1038.73
2003.11,1049.9
2003.12,1080.64
2004.01,1132.52
2004.02,1143.36
2004.03,1123.98
2004.04,1133.36
2004.05,1102.78
2004.06,1132.76
2004.07,1105.85
2004.08,1088.94
