obs,output,labor,capital,lnoutput,lnlabor,lncapital,lnoutlab,lncaplab,outputstar,capitalstar,laborstar
31,51298516,407076,3295056,17.75317192,12.91675472,15.00793362,4.836417198,2.091178656,0.180122793,0.286911964,0.088149741
32,20401410,43079,404749,16.83111382,10.67079067,12.91102219,6.16032362,2.240231514,-0.508566141,-0.777782023,-0.879425645
33,87756129,727177,4260353,18.29007149,13.49692535,15.26486301,4.793147087,1.767937422,0.992754042,0.642495632,0.939040959
34,101268432,820013,4086558,18.43328476,13.61707592,15.2232132,4.816209793,1.60613811,1.293939948,0.578475237,1.185817242
35,3556025,34723,184700,15.08415413,10.45515728,12.12648773,4.628996372,1.671330571,-0.884045601,-0.858840823,-0.901637495
36,124986166,1174540,6301421,18.643713,13.97638702,15.65628529,4.66732645,1.67989862,1.822602391,1.39435792,2.128219604
37,20451196,201284,1327353,16.83355141,12.21247196,14.09869766,4.621079922,1.886225224,-0.507456422,-0.437925041,-0.458885729
38,34808109,257820,1456683,17.36536026,12.4600172,14.19167233,4.905344009,1.731655598,-0.187444344,-0.390284151,-0.308601975
39,104858322,944998,5896392,18.46812057,13.75893784,15.58985138,4.709182739,1.830913067,1.373957753,1.245158553,1.518051863
40,6541356,68987,297618,15.69365501,11.14167309,12.60356617,4.551981449,1.461892724,-0.817503333,-0.817245543,-0.810557067
41,37668126,400317,2500071,17.44432449,12.90001202,14.73182964,4.544312954,1.831817627,-0.123695262,-0.005934343,0.070182994
42,4988905,56524,311251,15.42272663,10.94242096,12.64835453,4.480306625,1.705934286,-0.852107108,-0.812223613,-0.843686163
43,62828100,582241,4126465,17.95591354,13.27464008,15.23293209,4.68127346,1.958291888,0.437114388,0.59317565,0.553772628
44,172960157,1120382,11588283,18.96857262,13.92918015,16.26550484,5.039391518,2.336324692,2.891930819,3.341863871,1.984256864
45,15702637,150030,762671,16.56933975,11.91859055,13.54458237,4.65074873,1.625991464,-0.613300622,-0.645935297,-0.595128894
46,5418786,48134,276293,15.50538254,10.781744,12.52921677,4.723638058,1.747473121,-0.842525125,-0.825100958,-0.865988433
47,49166991,425346,2731669,17.71073341,12.96065807,14.82042313,4.750074863,1.859765053,0.132611617,0.079378739,0.13671498
48,46164427,313279,1945860,17.64772034,12.65484905,14.48121452,4.992870808,1.826365113,0.065685205,-0.210087433,-0.161181077
49,9185967,89639,685587,16.03318787,11.40354538,13.43803024,4.62964201,2.034484863,-0.758555591,-0.674330533,-0.755660057
50,66964978,694628,3902823,18.01968002,13.45113182,15.17721081,4.568548679,1.726078987,0.529324412,0.510793328,0.852519333
51,2979475,15221,361536,14.90725803,9.630431175,12.79811668,5.276826382,3.167685509,-0.89689678,-0.793700218,-0.953477681
