,Y,K,L
 92Q3,6260.7 ,386.22 ,18.10 
 92Q4,6327.1 ,382.55 ,18.06 
 93Q1,6327.9 ,382.48 ,18.10 
 93Q2,6359.9 ,384.90 ,18.06 
 93Q3,6393.5 ,385.23 ,18.05 
 93Q4,6476.9 ,384.14 ,18.09 
 94Q1,6524.5 ,386.83 ,18.17 
 94Q2,6600.3 ,391.31 ,18.27 
 94Q3,6629.5 ,397.10 ,18.37 
 94Q4,6688.6 ,405.03 ,18.48 
 95Q1,6703.7 ,414.69 ,18.56 
 95Q2,6708.8 ,422.37 ,18.55 
 95Q3,6759.2 ,427.15 ,18.51 
 95Q4,6796.5 ,429.09 ,18.49 
 96Q1,6826.4 ,431.36 ,18.47 
 96Q2,6926.0 ,429.80 ,18.49 
 96Q3,6943.8 ,432.67 ,18.50 
 96Q4,7017.4 ,434.43 ,18.53 
 97Q1,7101.6 ,438.56 ,18.58 
 97Q2,7159.6 ,444.82 ,18.63 
 97Q3,7214.0 ,449.15 ,18.67 
 97Q4,7280.0 ,453.59 ,18.76 
 98Q1,7365.6 ,459.09 ,18.83 
